example_id                                                         | status | run_time        |
./spec/controllers/vendors/cars_controller_spec.rb[1:2:2]          | passed | 0.09193 seconds |
./spec/controllers/vendors/cars_controller_spec.rb[1:3:1:1]        | passed | 0.08668 seconds |
./spec/controllers/vendors/cars_controller_spec.rb[1:3:1:2]        | passed | 0.0879 seconds  |
./spec/controllers/vendors/cars_controller_spec.rb[1:4:1]          | passed | 0.01595 seconds |
./spec/controllers/vendors/cars_controller_spec.rb[1:4:2]          | passed | 0.01497 seconds |
./spec/controllers/vendors/dashboard_controller_spec.rb[1:1:1:1]   | passed | 0.01864 seconds |
./spec/controllers/vendors/dashboard_controller_spec.rb[1:1:2:1]   | passed | 0.00504 seconds |
./spec/models/activity_spec.rb[1:1:1]                              | passed | 0.00323 seconds |
./spec/models/activity_spec.rb[1:1:2]                              | passed | 0.00389 seconds |
./spec/models/activity_spec.rb[1:1:3]                              | passed | 0.00364 seconds |
./spec/models/activity_spec.rb[1:2:1]                              | passed | 0.01137 seconds |
./spec/models/activity_spec.rb[1:2:2]                              | passed | 0.01297 seconds |
./spec/models/activity_spec.rb[1:2:3]                              | passed | 0.02067 seconds |
./spec/models/activity_spec.rb[1:2:4:1]                            | passed | 0.00756 seconds |
./spec/models/activity_spec.rb[1:2:4:2]                            | passed | 0.00691 seconds |
./spec/models/activity_spec.rb[1:2:4:3]                            | passed | 0.00631 seconds |
./spec/models/activity_spec.rb[1:2:4:4]                            | passed | 0.02613 seconds |
./spec/models/activity_spec.rb[1:2:5:1]                            | passed | 0.10132 seconds |
./spec/models/activity_spec.rb[1:2:5:2]                            | passed | 0.00604 seconds |
./spec/models/activity_spec.rb[1:3:1:1]                            | passed | 0.20258 seconds |
./spec/models/activity_spec.rb[1:3:2:1]                            | passed | 0.1775 seconds  |
./spec/models/activity_spec.rb[1:3:3:1]                            | passed | 0.1571 seconds  |
./spec/models/activity_spec.rb[1:3:4:1]                            | passed | 0.15617 seconds |
./spec/models/activity_spec.rb[1:3:5:1]                            | passed | 0.27014 seconds |
./spec/models/activity_spec.rb[1:3:6:1]                            | passed | 0.16137 seconds |
./spec/models/activity_spec.rb[1:4:1:1]                            | passed | 0.10959 seconds |
./spec/models/activity_spec.rb[1:4:1:2]                            | passed | 0.08586 seconds |
./spec/models/activity_spec.rb[1:4:1:3]                            | passed | 0.10981 seconds |
./spec/models/activity_spec.rb[1:4:1:4]                            | passed | 0.09607 seconds |
./spec/models/activity_spec.rb[1:5:1:1]                            | passed | 0.03037 seconds |
./spec/models/activity_spec.rb[1:5:1:2]                            | passed | 0.03213 seconds |
./spec/models/activity_spec.rb[1:5:1:3]                            | passed | 0.03088 seconds |
./spec/models/activity_spec.rb[1:5:2:1]                            | passed | 0.02862 seconds |
./spec/models/activity_spec.rb[1:5:3:1]                            | passed | 0.0066 seconds  |
./spec/models/activity_spec.rb[1:5:3:2]                            | passed | 0.00648 seconds |
./spec/models/activity_spec.rb[1:5:3:3]                            | passed | 0.00706 seconds |
./spec/models/activity_spec.rb[1:5:3:4]                            | passed | 0.00625 seconds |
./spec/models/activity_spec.rb[1:5:3:5]                            | passed | 0.00597 seconds |
./spec/models/activity_spec.rb[1:5:4:1]                            | passed | 0.01327 seconds |
./spec/models/activity_spec.rb[1:5:4:2]                            | passed | 0.0072 seconds  |
./spec/models/activity_spec.rb[1:5:4:3]                            | passed | 0.0084 seconds  |
./spec/models/activity_spec.rb[1:5:4:4]                            | passed | 0.00588 seconds |
./spec/models/activity_spec.rb[1:5:4:5]                            | passed | 0.00655 seconds |
./spec/models/activity_spec.rb[1:5:5:1]                            | passed | 0.01599 seconds |
./spec/models/activity_spec.rb[1:5:5:2]                            | passed | 0.01037 seconds |
./spec/models/activity_spec.rb[1:5:5:3]                            | passed | 0.00557 seconds |
./spec/models/activity_spec.rb[1:5:6:1]                            | passed | 0.0164 seconds  |
./spec/models/activity_spec.rb[1:5:6:2]                            | passed | 0.01223 seconds |
./spec/models/activity_spec.rb[1:5:6:3]                            | passed | 0.005 seconds   |
./spec/models/activity_spec.rb[1:6:1]                              | passed | 0.00277 seconds |
./spec/models/admin_spec.rb[1:1:1]                                 | passed | 0.01068 seconds |
./spec/models/admin_spec.rb[1:1:2]                                 | passed | 0.0117 seconds  |
./spec/models/admin_spec.rb[1:2:1]                                 | passed | 0.00207 seconds |
./spec/models/admin_spec.rb[1:2:2]                                 | passed | 0.00267 seconds |
./spec/models/admin_spec.rb[1:2:3]                                 | passed | 0.00231 seconds |
./spec/models/admin_spec.rb[1:2:4]                                 | passed | 0.00188 seconds |
./spec/models/admin_spec.rb[1:2:5]                                 | passed | 0.00194 seconds |
./spec/models/admin_spec.rb[1:3]                                   | passed | 0.01176 seconds |
./spec/models/blog_spec.rb[1:1:1]                                  | passed | 0.01006 seconds |
./spec/models/blog_spec.rb[1:1:2]                                  | passed | 0.01067 seconds |
./spec/models/blog_spec.rb[1:1:3]                                  | passed | 0.01269 seconds |
./spec/models/blog_spec.rb[1:1:4]                                  | passed | 0.01057 seconds |
./spec/models/blog_spec.rb[1:1:5]                                  | passed | 0.00925 seconds |
./spec/models/blog_spec.rb[1:1:6]                                  | passed | 0.02743 seconds |
./spec/models/blog_spec.rb[1:2:1:1]                                | passed | 0.0064 seconds  |
./spec/models/blog_spec.rb[1:2:1:2]                                | passed | 0.00679 seconds |
./spec/models/blog_spec.rb[1:2:1:3]                                | passed | 0.00768 seconds |
./spec/models/blog_spec.rb[1:2:1:4]                                | passed | 0.00673 seconds |
